ID;severidade;bloco;linha_planilha;campo;valor_na_planilha;valor_no_artigo;evidencia;explicacao;confianca_auditor;aceito_IVS;obs_IVS
AA_36;alta;F_desempenho;;AUC_raw / AUC (campo igual em todas as linhas 126-131);NR;"Severely Stunting AUC = 0.58; Stunting AUC = 0.55; Normal AUC = 0.58 (one-vs-rest, 3 classes)";Fig. 4 'ROC Curve', p.6 — legenda do grafico traz os tres valores numericos de AUC. O texto da secao G (p.6) diz apenas 'AUC values are nearly 0.5', mas os numeros exatos estao na figura. A propria secao II.D (p.3) declara: 'The AUC ... was acknowledged as the primary performance metric'.;"O artigo REPORTA AUC numericamente na figura; a planilha marca NR e a nota da linha 126 afirma que a Fig. 4 traz AUC 'apenas qualitativamente', o que nao se sustenta.";alta;;
AA_44;alta;derivado_pelo_notebook;todas (144-147);classificacao_finalidade / rotulo_proposto;predicao prospectiva;"classificacao diagnostica (nowcasting), com componente misto de historico previo; sem horizonte temporal declarado";Materials and methods - Feature selection, p.5: 'For obesity incidence prediction, only temporal condition patterns from the pre-index and index visits were considered in this model.' | Machine learning analysis, p.7: 'We trained four machine learning models ... to classify cases and controls as obesity positive or negative.' | Discussion - Key findings, p.11: 'four supervised machine learning algorithms were trained to identify pediatric patients ... as obese or not obese.' | Study population, p.5: caso = 'a non-obese BMI measurement in the pre-index visit, and an obese BMI measurement in the index visit'.;O desfecho e aferido na visita indice e parte dos preditores (todos os padroes com prefixo '2-', mais idade/Medicaid/raca) e medida NA MESMA visita indice, o que descaracteriza predicao prospectiva.;alta;;
AA_02;media;A_identificacao;;N (sample)_raw;8564.0;8906 (dataset original) / 8564 (amostra analitica);"Methods, Data source, p.3 - 'The original dataset for children under five years of age had 8906 data points'; Results, Sample characteristics, p.6 - 'A total of 8564 children under five years of age were included in the analysis'";"A planilha repetiu 8564 em N (sample) e em N (analysis), apagando a distincao entre N total e N apos exclusoes; o 8906 so aparece no campo Inclusion/Exclusion, o que atenua o erro.";alta;;
AA_10;media;F_desempenho;;Metrics Source (todas as 4 linhas);Results text + Fig. 2/Fig. 3, test set;"Todos os valores extraidos vem SO do texto de Results; a Fig. 3 ('Test Accuracy') mostra barras de ~0,73 (LR), ~0,825 (RF), ~0,825 (SVM Using GSCV), ~0,805 (SVM) e ~0,73 (KNN), que contradizem 91.10, 84.40, 77.612 e 71.10 do texto";Results, p.3 (valores numericos) vs Fig. 3, p.3 (alturas das barras, eixo y 0.0-0.8, ordem LR, RF, SVM Using GSCV, SVM, KNN);Citar Fig. 2/Fig. 3 como fonte dos valores nao se sustenta: as figuras nao trazem rotulos numericos e a Fig. 3 discorda do texto para os quatro algoritmos.;alta;;
AA_13;media;E_validacao;69;Validation Type;holdout test;O artigo faz split 80/20 (3200/800), mas as metricas que a planilha extraiu (Tabela 7) NAO sao as do holdout de 800;"Fig. 6, p.9 do PDF (p.2183) - classification report do CatBoost com support 800 (= conjunto de teste) da accuracy 0.96 e macro/weighted avg 0.96/0.96/0.96, enquanto a Tabela 7 (mesma p.9) da 0.94850 para o mesmo modelo. Confirmacao aritmetica: as 5 accuracies da Tabela 7 (0.94850/0.94625/0.94375/0.93800/0.93650) so sao contagens inteiras com denominador 4000 (3794/3785/3775/3752/3746); com n=800 apenas 2 das 5 fecham em inteiro, e com n=160 e n=3200 nenhuma serie fecha.";As metricas extraidas vem do benchmark sobre as 4.000 linhas (amostra completa ou CV agrupada), nao do conjunto de teste de 800 que a planilha assume.;alta;;
AA_13;media;F_desempenho;69;Recall (Sensitivity)_raw / Precision_raw;Recall 0.94850 e Precision 0.94996 (idem linhas 70-73), rotulados como sensibilidade e precisao;"Sao medias ponderadas multiclasse sobre 4 classes, nao sensibilidade/VPP da classe stunting; a recall por classe esta na Fig. 6 (0.90 / 0.96 / 0.98 / 0.98)";"Table 7, p.9 - Recall == Accuracy digito a digito nas 5 linhas (0.94850=0.94850, 0.94625=0.94625, 0.94375=0.94375, 0.93800=0.93800, 0.93650=0.93650), assinatura de recall ponderada multiclasse; Fig. 6, p.9 traz precision/recall/f1 por classe com supports 194/184/209/213";Se a revisao agrupar esses valores como sensibilidade do desfecho stunting, estara agrupando acuracia global sob outro nome.;alta;;
AA_13;media;F_desempenho;70;Metrics Source;"Table 7 (benchmarking); holdout test set 800 samples (assumed, set not explicitly labeled)";"Tabela 7 = benchmark; o artigo nunca rotula o conjunto, e a evidencia interna contradiz o holdout de 800 (denominador 4000)";"Fig. 6 vs Table 7, p.9 do PDF (p.2183); ver aritmetica na divergencia anterior";A suposicao 'holdout test set 800' esta errada e se repete identica nas linhas 71, 72 e 73 (a linha 69 e mais honesta: diz que o conjunto nao esta rotulado).;alta;;
AA_16;media;A_identificacao;;N (sample)_raw;20803;"21 304 (amostra inicial); 20 803 e a amostra analitica apos exclusoes";Methods, p.3 - 'from the initial sample of 21 304 children, we excluded 501 due to missing data, resulting in a 2.4% reduction in sample size... (n = 20 803)';"N amostral e N analitico foram preenchidos com o mesmo numero; o N total antes das exclusoes e 21 304 (o proprio campo Inclusion/Exclusion da planilha registra 21 304 corretamente).";alta;;
AA_19;media;F_desempenho;86;Accuracy_raw;91% (overall multiclass, without SMOTE);"91% e o cenario SEM reamostragem (Table XVI); os cenarios com reamostragem dao 88% (SMOTE), 87% (SMOTE-ENN) e 88% (SMOTE-Tomek)";Table XVI, p.8 — 'Voting without SMOTE 91% / 72%';"Valor correto, mas o cenario e inconsistente com as linhas 80-85, que usam cenarios COM oversampling; as linhas 86-87 pegam o cenario sem oversampling, o que quebra a comparabilidade entre linhas do mesmo estudo (o campo esta rotulado, mas o numero principal muda de cenario).";alta;;
AA_19;media;F_desempenho;87;Accuracy_raw;91% (overall multiclass, without SMOTE);91% e o cenario SEM reamostragem (Table XVI);Table XVI, p.8;Mesma inconsistencia de cenario da linha 86.;alta;;
AA_23;media;G_eventos;;N Events_raw / N Events;15870 (short 13.585 + very short 2.285);"pela definicao do proprio artigo, positivo para stunting = apenas 'very short' = 2.285 no conjunto de teste (22.816 no conjunto balanceado); 'short' e explicitamente descrito como nao positivo";"p.4, III.B Preprocessing: 'the very short value means positive stunting, while the short value rarely means positive stunting but indicates that the child is close to stunting, and the normal value means negative stunting'; totais por classe real em Table I, p.5 (normal 14.899, short 13.585, very short 2.285)";A planilha soma short + very short como eventos, o que contraria a definicao do artigo e a propria 'Outcome Definition' da planilha, que marca so Z<-2 (very short) como positive stunting.;alta;;
AA_24;media;C_preditores;91;3 Most Important Features;"birth weight (normal, birth_weight_3); region 11 (Laayoune-Sakia El Hamra); region 5 (Beni Mellal-Khenifra)";"birth_weight_3 (OR 1.75); birth_weight_4 (OR 1.70); birth_weight_2 (OR 1.65)";"Results IV.B.1, p.4-5 — 'children with normal birth weight (birth_weight_3) are 1.75 times more likely... Those with elevated birth weight (birth_weight_4) have a 1.70 times greater chance, and children with normal birth weight (birth_weight_2) are 1.65 times more prone'; region_11 (1.50) e region_5 (1.45) aparecem so em 4o e 5o lugar. Fig. 1, p.5 (barras em ordem decrescente de OR).";"A planilha pulou o 2o e o 3o colocados do ranking do artigo (as outras duas categorias de birth weight) e trouxe o 4o e o 5o; vale para as 10 linhas de overweight (91-100).";alta;;
AA_24;media;F_desempenho;91;Metrics Source;Table I / Table II, test set (30% holdout);NR — o artigo nao declara a procedencia das metricas das Tabelas I e II;"Methods III.A, p.2 — 'the training dataset, making up 70% of the data, was used to train the models, identify the best ones, and evaluate their effectiveness'; Methods III.F.1, p.3 — 'In this study, we combined the top accuracy results from various machine learning algorithms that used k-fold techniques and feature selection'.";"A atribuicao ao conjunto de teste e inferencia: o proprio artigo atribui 'evaluate their effectiveness' ao conjunto de TREINO e diz que a acuracia combina resultados de k-fold com selecao de variaveis; aplica-se as 20 linhas (91-110).";alta;;
AA_26;media;A_identificacao;111-113 (campo igual em todas as linhas);Age (months);NR (... o boxplot de Age na Fig. 2 tem eixo que vai de 0 a ~360 com unidade nao declarada, incompativel com 0-60 meses);NR quanto a faixa etaria em meses (o texto so diz 'toddlers' / 'children under the age of five'). Mas o eixo Y do painel 'Distribution of Age' da Fig. 2 NAO vai de 0 a ~360: os ticks sao 0/250/500/750/1000/1250/1500/1750 (os digitos iniciais estao cortados na figura publicada), com bigode inferior em 0 e bigode superior em ~1800. Os mesmos ticks aparecem integros e legiveis no painel 'Distribution of Age' da Fig. 5. Lido como DIAS, 0-~1800 dias = 0-~59 meses, ou seja, COMPATIVEL com criancas menores de 5 anos.;"Fig. 2, painel 'Distribution of Age', p.3 (imagem embutida xref 21 ampliada); ticks identicos e legiveis em Fig. 5, painel 'Distribution of Age', p.4; texto p.1 'children under the age of five'";O valor do campo (NR) esta correto, mas a justificativa anexada le o eixo errado e conclui uma incompatibilidade com a janela 0-60 meses que a figura nao sustenta.;alta;;
AA_36;media;F_desempenho;;Precision_raw / Recall (Sensitivity)_raw / F1-Score_raw — interpretacao (todas as linhas 126-131);valores lidos como metricas da classe positiva (stunting);metricas de tarefa multiclasse de 3 classes, quase certamente media entre classes (macro), nao sensibilidade para stunting;"Tabelas III e IV, p.5 (uma unica coluna de Precision/Recall/F1, sem indicar classe nem tipo de media); Secao III.F 'Confusion Matrix Result', p.5 — 'Severely Stunting' com 26 acertos e 'Stunting' com 5 acertos; Fig. 1, p.4 — Normal 79,11%, igual a accuracy de 0,79.";Recall 0,34 nao e a sensibilidade para stunting: a matriz de confusao mostra 5 acertos na classe Stunting, logo o valor e media entre as tres classes e a planilha nao carrega essa ressalva.;alta;;
AA_36;media;A_identificacao;;N (sample)_raw / N (analysis)_raw (justificativa);"86.365, com nota '86,365 (Results; abstract diz 86,364 - ignorado por regra)'";86.364 em Methods II.A, p.2 e 86.365 em Results III.A, p.4 (o corpo do artigo traz OS DOIS numeros);"Methods, Secao II.A 'Dataset Description', p.2 — 'The data consists of 86,364 children aged 0-59 months'; Results, Secao III.A 'Data Description', p.4 — 'consists of 86,365 observations'.";"A nota atribui 86.364 ao abstract e o descarta pela regra, mas 86.364 tambem esta no corpo (Methods, p.2); a inconsistencia e Methods x Results, nao abstract x corpo.";alta;;
AA_36;media;A_identificacao;;Data Collection Period (e o ano dentro de Dataset Name);2023 / 'Indonesian Health Survey 2023 (SKI 2023)';NR no corpo — o ano da pesquisa so aparece no abstract;"Methods II.A, p.2 — 'primary data obtained from a health survey conducted by the Indonesian Ministry of Health' (sem ano); Methods II.B, p.2 — 'data is collected from the Indonesian Health Survey obtained from the Indonesian Ministry of Health' (sem ano). O '2023 Indonesian Health Survey' aparece apenas no Abstract, p.1. A referencia [2] (p.6) e 'Survei Kesehatan Indonesia (SKI) 2023', mas e citada na Introducao para a definicao de stunting, nao como fonte do banco.";"Pela regra fixa da revisao (abstract nao vale como fonte), o periodo de coleta deveria ser NR; o corpo nunca informa o ano do inquerito.";alta;;
AA_37;media;F_desempenho;132;F1-Score_raw;86.14%;"86.14% na Table IV, mas e a MACRO-media das duas classes; o F1 da classe positiva (stunting) derivado da Table I e 73.77%";Table IV, p.4 (KNN F1-score 86.14%) confrontada com Table I, p.4 (TN=1060, FP=24, FN=8, TP=45): F1+ = 73.77%, F1- = 98.51%, macro = 86.14% (bate na segunda casa);"O numero foi copiado corretamente da tabela, mas o artigo rotula como 'F1-score' uma macro-media que inclui a classe negativa trivial; lido como F1 do desfecho, superestima em ~12 pontos.";alta;;
