ID;artigo;ano;pais_dados;desenho;A_identificacao;B_desfecho;C_preditores;D_modelo;E_validacao;F_desempenho;G_eventos;H_calibracao;n_divergencias;n_alta;finalidade_proposta;auditor_concorda;finalidade_correta;antropometria_do_desfecho_entre_preditores;detalhe_antropometria;confianca;coerencia_geral;leitura;obs
AA_36;Advanced Machine Learning Techniques for Stunting Classification Using a Stacking Ensemble Approach;2024;Indonesia;transversal (inquerito nacional de saude, uma unica onda);PARCIAL;OK;OK;OK;PARCIAL;PARCIAL;OK;OK;6;1;classificacao diagnostica (nowcasting);True;classificacao diagnostica (nowcasting);False;"Nenhuma variavel antropometrica entre os preditores. A Table I (p.2) lista 18 features, todas sociais/economicas/ambientais/demograficas; peso, altura, comprimento, peso ao nascer, WAZ/WHZ e perimetro braquial nao aparecem. A Introducao (p.2) reforca: 'this study focuses solely on external factors that influence stunting, such as social, economic, environmental, and demographic factors'. Nao ha ranking de importancia no artigo, entao antropometria_top3 = False e trivialmente correto (3 Most Important Features = NR esta certo).";alta;O nucleo quantitativo da extracao esta correto: as 24 celulas de Accuracy/Precision/Recall/F1 das 6 linhas batem exatamente com a Table III (p.5, individuais) e a Table IV (p.5, stacking), a lista de algoritmos cobre os 5 base learners mais o stacking sem sobra nem falta, o Best Model? = stacking confere com a Conclusao (p.6) e o rotulo de nowcasting bate com o desenho transversal. O problema central e o AUC: a planilha diz NR, mas a Fig. 4 (p.6) traz 0,58 / 0,55 / 0,58 por classe, e a propria Secao II.D (p.3) chama o AUC de metrica primaria do estudo. Nada aqui sugere fabricacao ou metrica de treino no lugar de teste — ao contrario, o desempenho baixo e internamente coerente: accuracy 0,79 e praticamente a prevalencia da classe Normal (79,11%, Fig. 1, p.4), a matriz de confusao (Secao III.F, p.5) registra apenas 5 acertos na classe 'Stunting' e 26 em 'Severely Stunting', e o AUC fica em 0,55-0,58, o que descreve um modelo que essencialmente prediz 'Normal' para todos. Consequencia pratica: Precision/Recall/F1 da planilha sao medias entre as 3 classes, nao sensibilidade para stunting, e ler 'Recall = 0,34' como sensibilidade do desfecho superestima muito o modelo.;texto via PyMuPDF + paginas 4,5,6 visuais (Fig. 1, Fig. 3, Fig. 4 e Tabelas III/IV) + zoom raster na Fig. 4 (p.6);"Duas inconsistencias internas do artigo que a extracao registrou apenas em parte: (a) o Results III.A (p.4) diz '20 dependent variables' e nomeia 'family income' e 'parental education', que NAO constam da Table I (p.2) — a nota de Predictor Notes sinaliza a contagem 19 vs 20 mas nao essa divergencia de nomes; (b) a Secao III.F (p.5) discute 'the visualization of the confusion matrix', porem nenhuma figura de matriz de confusao existe no artigo (Fig. 1 = pizza, Fig. 2 = correlacao, Fig. 3 = barras de accuracy, Fig. 4 = ROC) — a nota da planilha ja registra isso corretamente. O artigo tambem nao tem Table II (numeracao pula de I para III). Confirmado ainda que a Fig. 1 (p.4) traz so percentuais (6,27% / 14,62% / 79,11%), sem contagens absolutas, o que valida N Events = NR."
AA_44;Conceptualizing bias in EHR data: performance disparities by demographic subgroups for a pediatric obesity incidence classifier;2024;EUA (area metropolitana de Filadelfia, PA - CHOP);caso-controle pareado 1:1 retrospectivo, derivado de coorte retrospectiva de EHR (Pediatric Big Data, CHOP, 2009-2017);PARCIAL;OK;OK;OK;OK;OK;PARCIAL;OK;6;1;predicao prospectiva;False;"classificacao diagnostica (nowcasting) - preditores concorrentes ao desfecho, com historico imediato anterior; NAO ha horizonte temporal declarado";False;Os 74 candidatos sao 70 padroes temporais de diagnosticos codificados em EDC (binarios) + 4 demograficas (sexo ao nascer, raca/etnia, Medicaid/CHIP, faixa etaria na visita indice) - Feature selection, p.5-7. IMC/z-score entram apenas na DEFINICAO de caso e controle (Study population, p.5), nunca como preditor. Table 3, p.10, confirma: os 10 top features de cada algoritmo sao codigos EDC ou variaveis demograficas. Ressalva: o codigo '2-END05' (GBT, rank 6) nao e traduzido no texto principal e sua definicao esta so na S2 Table (suplemento nao incluido no PDF), entao nao e possivel excluir com 100% de certeza que algum EDC seja endocrino/relacionado a obesidade - mas nenhuma MEDIDA antropometrica figura entre os preditores. Flag antropometria_top3 = False esta correto.;alta;"O conjunto quantitativo extraido e fiel: as 4 AUC (LR 0.78, RF 0.77, GBT 0.78, NN 0.76, todas SD 0.01) batem exatamente com a linha 'Total Study Population' da Table 2, p.9; os top-3 de cada algoritmo batem exatamente com a ordem de rank 1-3 da Table 3, p.10; Accuracy/Precision/Recall/Specificity/F1 = NR esta certo porque o artigo so reporta AUC-ROC; N = 9.554, 4.777 casos, 44,6% feminino e faixa 24-216 meses conferem com Table 1 e Methods. Os problemas sao de rotulagem, nao de numero: (1) o rotulo derivado 'predicao prospectiva' contradiz o proprio campo Predictor Timing da planilha ('before or at the outcome') e o desenho do artigo, que aferiu desfecho e boa parte dos preditores na mesma visita indice; (2) o flag antropometria_preditores = True nao tem lastro no artigo. Ha ainda um ponto metodologico que a planilha reproduz fielmente mas que vale registrar: o artigo usa as MESMAS 200 particoes estratificadas para escolher hiperparametros e para reportar o desempenho da Table 2 (p.8), sem conjunto de teste realmente independente - ou seja, o 'test set' da coluna Metrics Source e otimista, mas a planilha nao inventou nada, apenas copiou a linguagem do artigo.";texto via PyMuPDF + pagina 6 visual (Fig 2, fluxograma);O artigo nao declara a proporcao do split treino/teste em momento algum - a planilha registra isso como 'split proportion not reported', o que esta correto. Calibracao realmente nao foi avaliada (nenhuma curva, Brier ou Hosmer-Lemeshow no texto, tabelas ou lista de suplementos S1-S5), entao 'Calibration Assessed: No' confere.
AA_19;Enhancing Early Stunting Detection: A Novel Approach using AI with an Integrated SMOTE Algorithm and Ensemble Learning Model;2024;Indonesia (Yogyakarta);"transversal (registro unico de altura/peso/idade/sexo por crianca, coletado via posyandu; sem seguimento)";PARCIAL;OK;OK;PARCIAL;OK;PARCIAL;OK;OK;6;0;classificacao diagnostica (nowcasting);True;classificacao diagnostica (nowcasting);True;Altura (Height, cm) e peso (Weight, kg) sao 2 dos 4 preditores (Fig. 2.4, p.2). O desfecho e uma funcao deterministica de altura-para-idade: 'stunted' = z-score de altura/idade mais de 3 DP abaixo da mediana, 'stunting' = entre 3 e 2 DP (Data Understanding, p.2, ref [6] Standar Antropometri Anak). Como altura e idade em meses tambem sao preditores, o rotulo e recuperavel a partir dos proprios preditores — a tarefa e circular. O campo antropometria_top3=False esta correto por ausencia de ranking de importancia reportado (nao porque nao haja antropometria).;alta;"O conjunto extraido bate com o artigo: todos os valores numericos de precision/recall/F1/accuracy/support das 8 linhas conferem exatamente com as Tables V, X, XIII e XVI, e as variantes alternativas anotadas em 'Notes' conferem com as Tables IV, VI-IX, XI, XII, XIV e XV. Os desempenhos quase perfeitos (0.98-1.00) para classes com apenas 18 e 89 eventos reais so se explicam por dois erros do proprio artigo, e a extracao capturou os dois: (i) o oversampling foi aplicado ANTES do split — 'the next step is to process the data with SMOTE, SMOTE-ENN, and SMOTE-Tomek Link techniques to balance the data. After the pre-process procedure, we split the data into training (80%) and testing (20%)' (Modeling Phase, p.4) —, de modo que os suportes de teste sobem de 151 para 382-387 e o conjunto de teste contem amostras sinteticas; (ii) o desfecho e derivado deterministicamente de altura + idade, que estao entre os 4 preditores. Sem reamostragem os mesmos modelos caem para F1 0.20-0.41 (stunted) e 0.29-0.57 (stunting), o que confirma o diagnostico. O artigo nao reporta AUC, especificidade nem calibracao, e a planilha registra NR/No corretamente.";"texto via PyMuPDF (o PDF usa fontes subsetadas sem ToUnicode e o texto saiu embaralhado; reconstrui o CMap a partir dos programas de fonte embutidos e reextrai) + paginas 2,3,4,5,6,7,8 conferidas visualmente para todas as tabelas e figuras";"N amostral: o artigo so escreve 'roughly 750 data records' (p.3); os 752 da planilha vem da soma da Table I (645+89+18) e do indice 751 da Fig. 2.4 — coerente, mas nunca declarado como numero. O Predictor Notes da planilha esta correto: a Fig. 3 (p.4) tem mesmo uma caixa 'Feature Selection and Data visualization', embora nenhuma selecao seja descrita e as 4 variaveis sejam usadas. Table VIII (Ada Boost sem SMOTE, p.5) traz Normal com P=0.86, R=0.94 e F1=0.50, valores internamente impossiveis — erro tipografico do artigo, sem impacto nas linhas extraidas."
AA_10;Prediction of Child Malnutrition using Machine Learning (Kar et al., IEMECON 2021);2021;"Asia (dataset open-source mundial filtrado para a Asia; autores na India)";"transversal / analise secundaria de dataset open-source unico (837 registros, 12 features); sem seguimento";PARCIAL;OK;OK;PARCIAL;PARCIAL;PARCIAL;OK;OK;5;0;classificacao diagnostica (nowcasting);True;classificacao diagnostica (nowcasting);True;"Methods III.A, p.2 lista 'Height, Weight record' entre as features do dataset usadas para ajustar o modelo, e o desfecho e desnutricao definida antropometricamente; alem disso a mesma secao diz que as entidades Overweight/Underweight/Stunning ja estavam no dataset e por isso a analise antropometrica foi pulada, sem esclarecer se essas colunas de rotulo tambem entraram entre as 12 features — se entraram, o modelo e circular.";alta;"CONFIRMADO: o desfecho e composto e unico. O artigo modela uma so variavel binaria, 'malnourished or not' (Conclusion, p.3), com um unico valor de acuracia por algoritmo; nao existe nenhuma tabela, figura ou paragrafo com stunting, wasting, underweight ou overweight modelados separadamente. As Fig. 2 e Fig. 3 (p.3) sao barras por ALGORITMO, nao por desfecho, e Methods III.A (p.2) diz explicitamente que overweight/underweight/stunting ja eram colunas do dataset e que a analise antropometrica foi pulada, ou seja, essas categorias entram como insumo do rotulo e nao como desfechos modelados. A extracao esta fiel ao artigo nos numeros: os quatro valores de acuracia (91.11, 84.40, 77.612, 71.10) existem no texto de Results e as celulas de AUC, precisao, recall, especificidade, F1, eventos, sexo, idade, periodo e calibracao estao corretamente como NR, porque o artigo so reporta acuracia. O que nao fecha e do proprio artigo, nao da extracao: LR aparece com 91.11% e com 84.40% na mesma pagina, KNN com 66.66% e 71.10%, o 'test size of 0.2%' contradiz o '10% TESTSET' da Fig. 1, e as barras da Fig. 3 nao batem com nenhum numero do texto; a extracao documentou essas inconsistencias nas Notes de cada linha.";texto via PyMuPDF + paginas 3 visual (Fig. 1, Fig. 2 e Fig. 3 sao imagens rasterizadas, sem texto extraivel);"Dois pontos para nao induzirem erro depois: (1) 'Age (months) = NR' esta correto sob a regra de ignorar o abstract, pois a faixa 1-5 anos so aparece no abstract e as mencoes a 'under 5 years' no corpo (Introducao e Literature Survey, p.1-2) sao contexto epidemiologico, nao descricao da amostra; (2) 'Calibration Assessed = No' esta correto — a frase 'its outputs are well calibrated and predicted probabilities' (Methods III.C, p.3) e descricao generica do algoritmo de regressao logistica, nao avaliacao de calibracao do modelo ajustado. Nota adicional: a caixa da Fig. 1 (p.3) le-se '80 %-70 % TRAIN SET' (primeiro digito borrado, pode ser 60), enquanto a Notes da linha 65 registra '60-70%'; e campo de I_obs e a imagem tem resolucao baixa demais para resolver o digito."
AA_13;Health and Socio-Demographic Risk Factors of Childhood Stunting: AI Predictive Model (CatBoost);2024;"Indonesia (nao declarado explicitamente para o dataset; ver obs)";transversal - analise secundaria de dataset aberto do Kaggle, um registro por crianca (idade, sexo, altura, status nutricional);OK;OK;OK;OK;PARCIAL;PARCIAL;PARCIAL;OK;5;0;classificacao diagnostica (nowcasting);True;classificacao diagnostica (nowcasting) - e mais: rotulo deterministicamente derivado dos proprios preditores;True;"Height (cm) e preditor e e a propria base do escore z altura-para-idade que define o rotulo 'Nutritional Status'. Fig. 7, p.10 (rotulos em indonesio) mostra o ranking de importancia: Tinggi Badan/altura ~53 > Umur/idade ~44 > Jenis Kelamin/sexo ~2, confirmando 'height; age; gender' da planilha na ordem correta. Como o rotulo WHO e funcao de altura + idade + sexo, os tres unicos preditores reproduzem a formula do desfecho: circularidade completa, nao apenas vazamento parcial.";alta;A transcricao numerica e impecavel: as 30 celulas de desempenho das 5 linhas batem digito a digito com a Tabela 7 (p.9), inclusive Kappa e MCC, e o 'AUC NR' das linhas 70-73 corresponde ao '-' da tabela. O desenho, porem, e circular: o rotulo de status nutricional e o escore z altura-para-idade da OMS calculado a partir de altura, idade e sexo, e esses tres sao os unicos preditores, de modo que accuracy ~0.95 e AUC 0.997 medem a reproducao de uma formula, nao capacidade preditiva. O unico problema material da extracao e de proveniencia: as metricas da Tabela 7 nao sao do holdout de 800 como as linhas 70-73 assumem, ja que a Fig. 6 da accuracy 0.96 no conjunto de teste de 800 para o mesmo CatBoost e as cinco accuracies so fecham em contagem inteira com denominador 4000. Vale registrar ainda que a Tabela 2 (p.5) reporta 81.574 linhas duplicadas nas 121.000 do dataset original, nunca tratadas, o que torna plausivel contaminacao entre treino e teste e ajuda a explicar o desempenho.;texto via PyMuPDF + paginas 9,10 visuais (Figura 6 e Figura 7 sao imagens, ausentes da camada de texto);Country/Region 'Indonesia' nao e afirmado para o dataset em lugar nenhum do texto (o artigo so diz 'comes from Kaggle'), mas a Fig. 7 (p.10) exibe os nomes das variaveis do proprio dataset em indonesio (Tinggi Badan, Umur, Jenis Kelamin), o que sustenta a extracao - inferencia defensavel, nao invencao. Ja 'Sex (%F): Not reported' e conservador demais frente ao tratamento dado a N Events: o desenho de 500 por classe por sexo torna a amostra analitica 50% feminina por construcao, derivavel pela mesma aritmetica usada para chegar a 2000/4000.
AA_37;Classification of Stunting in Toddlers from Bandarharjo Using K-Nearest Neighbors and Random Forest Algorithms (Kani & Gunawan, COMNETSAT 2024);2024;Indonesia (Bandarharjo Health Center, Central Java);"transversal — registros de monitoramento de crescimento de um unico centro de saude; preditores e desfecho vem do mesmo registro de medicao (o termo 'cross-sectional' nunca aparece no artigo, e inferencia da estrutura dos dados)";PARCIAL;OK;PARCIAL;OK;OK;PARCIAL;OK;OK;5;0;classificacao diagnostica (nowcasting);True;classificacao diagnostica (nowcasting);True;"Circularidade direta: ZS_Height/Age (o z-score do proprio indice altura/idade) e mantido como preditor enquanto a categoria Height/Age ('Normal'=0 vs 'Stunted'+'Severely Stunted'=1) e o alvo (III.A e III.B, p.3; ZS_Height/Age tambem aparece como feature numerica nas Figs. 3 e 4, p.3-4). Alem dele, Height, Weight, Weight/Age, Weight/Height, ZS_Weight/Age e ZS_Weight/Height sao todos antropometricos — 7 dos 9 preditores. O flag antropometria_top3=False so e verdadeiro por vacuidade: o artigo nao reporta ranking de importancia (3 Most Important Features = NR corretamente), entao nao ha top-3 a inspecionar.";alta;"A extracao e fiel ao artigo: acuracias, F1, matrizes de confusao, n de treino/teste, SMOTE so no treino, hiperparametros, 155/3.632 e prevalencia de 4,1% conferem linha a linha com Tables I-IV (p.4) e Fig. 2 (p.3), e nada foi tirado apenas do abstract. Os dois pontos que exigem cuidado na sintese sao internos ao artigo, nao erros de digitacao: (1) o 'F1-score' da Table IV e macro-media das duas classes, o que infla o desempenho aparente sobre um desfecho de 4,1% de prevalencia; (2) a acuracia de 99,21% com apenas 53 casos positivos no teste se explica por circularidade — o modelo recebe ZS_Height/Age, o z-score continuo do mesmo indice que define o desfecho dicotomizado, entao esta essencialmente relendo o alvo. Nenhum desfecho ou algoritmo esta faltando ou sobrando: o artigo modela so stunting com KNN, RF e Stacked RFKNN, e a planilha tem exatamente essas tres linhas.";texto via PyMuPDF + paginas 3,4 visuais (Fig. 2, Fig. 3, Tabelas I-IV);"O artigo nao reporta AUC, precisao, recall nem especificidade numericamente (NR esta correto), mas as matrizes de confusao permitem deriva-los exatamente para o conjunto de teste: KNN P=65,22% R=84,91% Esp=97,79%; RF P=90,57% R=90,57% Esp=99,54%; Stacked RFKNN P=94,00% R=88,68% Esp=99,72%. Selecao de 27->10 features e descrita antes do split 70/30 no texto, sem metodo declarado."
AA_40;A Case Study on Stunting Classification in Toddlers from Karyajaya South Sumatra Using XGBoost and KNN;2025;Indonesia (Puskesmas Karyajaya, Palembang, Sumatra do Sul);transversal / base de registros de medicao fisica de rotina de um posto de saude (o artigo nunca nomeia o desenho);PARCIAL;OK;OK;OK;PARCIAL;PARCIAL;PARCIAL;OK;5;0;classificacao diagnostica (nowcasting);True;classificacao diagnostica (nowcasting);True;Vazamento direto do desfecho. O alvo e ZS TB/U (z-score altura-para-idade, Normal vs Stunting) e o preditor mais importante e a propria categoria TB/U (Height-for-Age), codificada 'Normal'=0, 'Short'=1, 'Very Short'=2, 'Tall'=3 (III.B, p.3), seguida de Height e Weight (Fig. 5 / texto, p.4-5: 'TB/U (Height-for-Age Z Score) is the most significant feature, followed by Height and Weight'). Na Table I, p.3, Height/Age e ZS Height/Age coincidem linha a linha nos quatro exemplos (1/1, 1/1, 0/0, 0/0). Alem disso a altura bruta, que define o desfecho, entra como preditor. Todo o conjunto de 5 preditores (LiLA, Weight, Height, BB/U, TB/U) e antropometrico.;alta;"A extracao reproduz fielmente os numeros publicados: accuracy 99,93% / F1 99,62% (XGBoost) e 99,43% / 93,89% (KNN) estao na Table IV, p.4, e precision/recall macro estao no texto da secao III.E, p.4 — nenhum valor veio do abstract e nenhum foi inventado. As metricas quase iguais a 1 se explicam por dois defeitos do proprio estudo, nao por erro de extracao: (i) circularidade, porque o preditor de maior ganho e a categoria altura-para-idade TB/U, que e a mesma informacao do alvo ZS TB/U, e a altura bruta tambem entra como preditor; (ii) conjunto de avaliacao, porque apesar do split 70/30 declarado as duas matrizes de confusao somam os 3000 registros da base inteira, de modo que o desempenho reportado nao e de teste independente nem media de CV identificavel (o numero de folds nunca aparece). O artigo tambem se contradiz internamente (28 vs 62 casos de stunting; recall macro 99,98% em III.E vs 99,15% na Conclusao; accuracy 99,93% vs 2999/3000=99,97% pela Table III) e a planilha registrou essas contradicoes em Events Notes / Other Metrics em vez de escolher em silencio.";texto via PyMuPDF;"AUC e especificidade nao sao reportados (a secao II.D, p.3, lista so accuracy, precision, recall e F1), entao 'NR' esta correto — embora especificidade fosse derivavel das matrizes (XGBoost 2937/2938=0,9997; KNN 2923/2938=0,9949). Duas ressalvas menores sem status de divergencia: a frase que apresenta a Table I (p.3) chama o alvo de 'ZS Weight/Age' enquanto o restante do artigo e o cabecalho da tabela dizem ZS TB/Age (altura-para-idade) — a planilha adotou a leitura dominante e correta; e a faixa etaria '0-60 meses' e traducao de 'toddlers / children under five' (p.1), ja que o artigo nunca da idade em meses nem qualquer estatistica descritiva de idade ou sexo."
AA_58;Predicting stunting status among under-5 children in Rwanda using neural network model (RDHS 2019-20);2025;Ruanda;transversal (inquerito domiciliar nacional DHS, analise de dados secundarios);OK;OK;PARCIAL;OK;PARCIAL;PARCIAL;OK;OK;5;0;classificacao diagnostica (nowcasting);True;classificacao diagnostica (nowcasting);False;As flags derivadas antropometria_top3=True e antropometria_preditores=True precisam ser qualificadas: a antropometria presente e a dos PAIS, nao a da crianca. Top-3 da Fig. 4 (p.9) = mother_height (altura MATERNA), Child_size (tamanho ao nascer percebido, categorico large/average/small, nao medida) e Sex. Entre os preditores ha ainda Mothers_BMI (IMC materno, Fig. 4, p.9) e birthweight (peso ao nascer da crianca, Table 1 p.5). NAO ha nenhuma medida de estatura/comprimento/HAZ da propria crianca no momento do desfecho entre os preditores, portanto nao ha circularidade com o desfecho (stunting = HAZ < -2 DP). Antropometria da crianca entre preditores existe, mas so ao NASCER (peso ao nascer e tamanho percebido ao nascer), nao a antropometria que define o desfecho.;alta;"O conjunto extraido bate com o artigo no essencial: um unico desfecho (stunting), um unico algoritmo (ANN/MLP), AUC 0,84 confirmado na propria Fig. 3 (p.8, legenda 'ROC curve (area = 0.84)') e acuracia de 72% repetida em Results (p.8) e Discussion (p.9); precisao, recall, especificidade e F1 sao de fato NR, e o proprio artigo admite na p.9 que 'this study only used the ROC for assessment'. Nao ha calibracao, matriz de confusao nem contagem absoluta de eventos (so 33,35% de 3.814, Results p.8), tudo isso corretamente marcado como NR/No. Os dois pontos que so se explicam por deslize sao: (a) a atribuicao dos 72% ao conjunto de teste, que so existe no abstract, enquanto a Fig. 2 citada pelo corpo e uma curva de treino/validacao com Training Accuracy ~0,72 e Validation Accuracy ~0,70-0,71; (b) a justificativa de que as 23 entradas do modelo seriam dummies das 19 variaveis da Table 1, contradita pela Fig. 4, que exibe 24 features nomeadas incluindo cinco (IMC materno, televisao, radio, nascimentos nos ultimos 5 anos, parasitose intestinal) que nao constam da Table 1. Essa segunda incoerencia e do proprio artigo, mas a planilha a resolveu com uma explicacao que o artigo nao sustenta.";"texto via PyMuPDF (23 paginas) + paginas 8 e 9 renderizadas em imagem para ler as Figuras 2, 3 e 4 (nao ha tabela de resultados no artigo; todas as metricas e o ranking de importancia so existem em figura)";"Confirmado que o artigo modela um unico par desfecho x algoritmo: nao ha wasting, underweight nem qualquer comparador (LR/RF/SVM/XGBoost aparecem apenas como referencia ao artigo-irmao Ndagijimana et al. 2023, JPMPH, ref. 17, que usou o mesmo banco - corretamente fora da planilha). 'Best Model? = Yes' e convencao, nao declaracao do artigo, ja que nao ha comparacao entre modelos. As inconsistencias internas registradas em Notes foram todas confirmadas: 2 camadas ocultas na p.6 vs 1 camada (MLP) na p.10 (reclamacao 12 do revisor, p.14); tamanhos de teste vs validacao dentro dos 763 nao especificados (reclamacao 9, p.14); e resposta do autor 'I did however I get the same before balancing and after balancing' sobre SMOTE (p.16)."
AA_23;Improving Stunting Detection in Toddlers with Boosted KNN and Boosted Naive Bayes Techniques;2024;Indonesia (Bojongsoang Community Health Center, Bandung);transversal (uma unica rodada de medicao, agosto de 2024), com dataset sintetico gerado por oversampling para modelagem;OK;OK;PARCIAL;OK;OK;OK;PARCIAL;OK;4;0;classificacao diagnostica (nowcasting);True;classificacao diagnostica (nowcasting);True;Height e Z-Score estao entre os 4 preditores (p.3, III.A) e o desfecho e a classificacao height-for-age (coluna Height/Age). Alem disso, no dataset sintetico as proprias classes foram atribuidas pelo Z-score (p.4: 'every data point with Z-scores less than -2 was classified as very short, those with Z-scores less than -1 were labeled as short'), ou seja, o preditor Z-Score e a variavel que define o rotulo. Circularidade completa, nao apenas sobreposicao. Nao ha ranking de importancia no artigo, entao antropometria_top3 = False esta correto por vacuidade (3 Most Important Features = NR).;alta;"Os valores numericos extraidos batem com o artigo: acuracia 98,62% / F1 macro 97,44% (BK) e 80,62% / 57,91% (BN) estao em Table III, p.5, e sao reproduzidos nas Conclusions, p.6; as duas matrizes de confusao conferem digito a digito com Tables I e II, p.5, e recalculam exatamente as acuracias reportadas (30.347/30.769 = 98,63% e 24.807/30.769 = 80,62%). A acuracia quase perfeita do BK nao e erro de extracao, e artefato do desenho: o split 9:1 foi feito DEPOIS de gerar 307.506 registros sinteticos a partir de 7.507 reais (p.4), de modo que treino e teste contem dados da mesma geracao sintetica; o preditor Z-Score e a variavel que define o rotulo no dataset sintetico; e os Algorithms 1 e 2 (p.3) fazem o reweighting do AdaBoost com base nos erros no proprio conjunto de teste T ('Predict dataset with knn(T)... if Predicted result != values in T then Reweight'), de forma que o 'holdout' nao e realmente independente do procedimento de treino. A planilha registra os dois primeiros pontos nos campos Notes e Predictor Notes, mas nao o terceiro. A unica correcao substantiva e a contagem de eventos, que soma 'short' como caso positivo contra a definicao explicita do artigo.";texto via PyMuPDF + pagina 4 visual (Fig. 3, Fig. 4, Fig. 5);"O campo 'Age (months): 0-60' nao aparece em texto, mas e sustentado pelo eixo do boxplot 'Distribution of Age' (Fig. 3, p.4), que vai de 0 a 5 com bigodes nos extremos e nenhum outlier, assumindo unidade em anos. Detalhe menor: o conjunto de teste soma 30.769 nas duas matrizes de confusao, contra 30.750,6 esperados por 10% de 307.506; diferenca de 18 registros, sem impacto nas metricas."
AA_24;Utilizing AI to Tackle Child Overnutrition in Morocco (Berrouyne et al., ICOA 2024);2024;Marrocos (2018 National Population and Family Health Survey, NPFHS);transversal (inquerito domiciliar nacional, amostragem estratificada em dois estagios);OK;OK;PARCIAL;OK;OK;PARCIAL;OK;OK;4;0;classificacao diagnostica (nowcasting);True;classificacao diagnostica (nowcasting);True;"O unico preditor antropometrico e o peso ao nascer (Methods III.C, p.2: 'birthweight records the child's weight at the time of birth'), que aparece como variavel mais importante para overweight (Results IV.B.1, p.4-5; Fig. 1, p.5) e em posicao intermediaria para obesidade (birth_weight_4, OR 1.7; Results IV.B.2, p.5). Ressalva importante: NAO ha peso, altura, IMC nem z-score contemporaneos entre os preditores, ou seja, a antropometria usada e a do nascimento e nao a mesma medida da qual o desfecho e derivado — nao ha circularidade. As flags do notebook (antropometria_preditores=True nos dois desfechos, antropometria_top3=True so em overweight) estao corretas na letra, mas devem ser lidas com essa ressalva.";alta;"Os 120 valores numericos das 20 linhas (AUC, acuracia, sensibilidade, especificidade e kappa) batem celula a celula com as Tabelas I (overweight, p.4) e II (obesidade, p.4), e a atribuicao das colunas foi confirmada pelo texto narrativo dos Results (IV.A.1 e IV.A.2, p.3-4), inclusive o erro tipografico '0. 651' do Naive Bayes na Tabela II. Os 10 algoritmos da planilha sao exatamente os 10 declarados em III.E, p.3, sem sobra nem falta, e os dois desfechos (overweight e obesidade) sao os dois modelados em III.B, p.2. Precision, F1, N de eventos, missing e calibracao como NR estao corretos: o artigo declara em III.F, p.3, que usa apenas quatro metricas (acuracia, sensibilidade, especificidade, kappa) mais AUC, e nunca informa quantas criancas eram com sobrepeso/obesidade. O padrao de especificidades proximas de zero (0.001 a 0.036) com sensibilidades proximas de 1.000 e acuracias de 0.88/0.97 e coerente com desfecho raro sem tratamento de desbalanceamento (Imbalance Handling = NR esta certo) e com um limiar que praticamente classifica todo mundo como positivo; nao e sinal de erro de extracao, e sim do proprio artigo. A unica incoerencia interna do artigo e o texto de III.A, p.2, falar em 'forecast undernutrition' num estudo de sobrenutricao (aparente resquicio do artigo irmao dos autores, ref. [23]).";texto via PyMuPDF + pagina 5 visual (Fig. 1 e Fig. 2);"DEEP LEARNING (ponto pedido pelo orquestrador): a rotulagem da planilha como 'deep learning' vem apenas do rotulo do proprio artigo — III.E, p.3, lista 'deep learning models (DL)' entre os dez classificadores, e as Tabelas I e II (p.4) trazem uma linha 'Deep Learning Model' com metricas, alem de uma linha separada 'Artificial Neural Networks'. O artigo NAO descreve nenhuma arquitetura: nao ha numero de camadas, funcao de ativacao, framework, hiperparametros, nem mencao a MLP, CNN, RNN, LSTM ou transformer em nenhum ponto do texto; o unico algoritmo com paragrafo metodologico proprio e o Random Forest (III.E.1, p.3), e nem a diferenca entre a linha 'ANN' e a linha 'Deep Learning Model' e explicada. Ou seja: o rotulo 'tem deep learning' e fiel ao que o artigo escreve, mas a arquitetura e NAO_VERIFICAVEL/NR, e as unicas arquiteturas neurais nomeadas sao 'artificial neural networks' e um 'deep learning model' generico (os DL/ANN citados na revisao de literatura, secao II, p.2, sao de outros estudos, nao deste). Segundo ponto menor: 'Data Collection Period = 2018' vem do nome do inquerito; o artigo nao informa as datas de campo (o relatorio do Ministerio e de 2019, III.A, p.2)."
