ID;antropometria_do_desfecho_AUDITOR;antropometria_do_desfecho_NOTEBOOK;flag_diverge;detalhe_antropometria;metrica_nao_e_classe_positiva;reamostragem_antes_do_split;metrica_nao_e_de_teste;acuracia_abaixo_da_linha_de_base;inconsistencia_interna_do_artigo
AA_01;True;True;False;birthweight ('records the child's weight at the time of birth', Methods II.C, p.2) esta entre os preditores dos TRES modelos: aparece na Fig. 1 (stunting, ~5o lugar), na Fig. 2 (wa;False;False;False;False;True
AA_02;True;True;False;Peso (weight) e comprimento/altura (length/height) da crianca sao covariaveis declaradas (Methods, Covariates, p.3) e sao exatamente os componentes dos z-scores que definem os tres;True;False;False;False;True
AA_03;True;True;False;"Peso e altura sao 2 dos 4 preditores (Table I, p.2: Gender, Age, Weight, Height; Status = desfecho). Como stunting e definido por altura-para-idade, o modelo usa altura e idade par";False;False;False;False;True
AA_04;True;True;False;Height (cm) e um dos 3 preditores (Methodology III.A e Table I, p.2) e e a feature #1 no SHAP (Fig. 3 e Results, p.3-4: 'Height (cm) has the highest SHAP values across various clas;True;False;False;False;False
AA_05;False;True;True;DIVERGENCIA NO ROTULO DERIVADO: o notebook marca antropometria_preditores = True para underweight e para wasting, mas nenhum dos 13 preditores candidatos e medida antropometrica. A;False;False;False;False;True
AA_06;False;False;False;Os preditores sao 192 MSFIs (6 refeicoes x 32 alimentos/bebidas, binarios) mais 5 controles sociodemograficos (idade, sexo, turno escolar, ano do inquerito, quintil de renda do set;False;False;False;False;True
AA_07;False;True;True;Discordo dos dois flags do notebook como enunciados na regra ('medida antropometrica do proprio desfecho'). (1) A antropometria CONCORRENTE da propria crianca (peso/altura/IMC atua;False;False;False;False;True
AA_10;True;True;False;"Methods III.A, p.2 lista 'Height, Weight record' entre as features do dataset usadas para ajustar o modelo, e o desfecho e desnutricao definida antropometricamente; alem disso a me";False;False;False;False;True
AA_13;True;True;False;Height (cm) e preditor e e a propria base do escore z altura-para-idade que define o rotulo 'Nutritional Status'. Fig. 7, p.10 (rotulos em indonesio) mostra o ranking de importanci;True;False;False;False;False
AA_16;False;False;False;"Os 15 preditores listados em 'Social and economic predictors', p.3-4 (idade e sexo da crianca; idade, sexo, escolaridade e estado civil do chefe do domicilio; tipo de seguro de sau";False;False;False;False;True
AA_19;True;True;False;Altura (Height, cm) e peso (Weight, kg) sao 2 dos 4 preditores (Fig. 2.4, p.2). O desfecho e uma funcao deterministica de altura-para-idade: 'stunted' = z-score de altura/idade mai;False;True;False;False;True
AA_22;True;True;False;Todos os 5 preditores nao demograficos sao antropometricos (Table I, p.3): birth weight, birth height, weight by age, weight according to height, upper arm circumference. Dois pont;True;False;False;False;False
AA_23;True;True;False;Height e Z-Score estao entre os 4 preditores (p.3, III.A) e o desfecho e a classificacao height-for-age (coluna Height/Age). Alem disso, no dataset sintetico as proprias classes fo;True;True;False;False;True
AA_24;True;True;False;O unico preditor antropometrico e o peso ao nascer (Methods III.C, p.2: 'birthweight records the child's weight at the time of birth'), que aparece como variavel mais importante pa;False;False;True;False;True
AA_26;True;True;False;Sim, e o caso mais forte possivel: Height e Age estao explicitamente entre os 5 preditores (p.3 §III.A) e o desfecho E a classificacao da coluna Height/Age do mesmo registro. Ou se;True;True;False;False;True
AA_28;True;True;False;Results III.A, p.3: Height/Age ZS (z-score do proprio indice que define o desfecho) esta na lista de atributos incluidos na analise e NAO e o alvo (o alvo e a categoria Height/Age);True;False;False;False;False
AA_31;True;True;False;Ha antropometria entre os preditores e no top-3, mas NAO ha vazamento/circularidade. Preditores antropometricos: altura, peso, peso-para-altura e perimetro cefalico segmentados em ;True;False;False;False;True
AA_35;True;True;False;Circularidade direta: o desfecho e a categoria da coluna height/age ('short'/'very short' vs 'normal'), e Height, Age, Weight, weight/age e weight/height entram como preditores (Re;True;True;False;False;True
AA_36;False;False;False;"Nenhuma variavel antropometrica entre os preditores. A Table I (p.2) lista 18 features, todas sociais/economicas/ambientais/demograficas; peso, altura, comprimento, peso ao nascer,";False;False;False;False;True
AA_37;True;True;False;Circularidade direta: ZS_Height/Age (o z-score do proprio indice altura/idade) e mantido como preditor enquanto a categoria Height/Age ('Normal'=0 vs 'Stunted'+'Severely Stunted'=1;True;True;False;False;False
AA_39;True;True;False;Height (altura atual) e preditor e o desfecho e a classe 'Height/Age' derivada da mesma medicao de altura (Results III.A, p.2). Birth Height tambem entra como preditor. Nao ha rank;True;False;False;True;False
AA_40;True;True;False;Vazamento direto do desfecho. O alvo e ZS TB/U (z-score altura-para-idade, Normal vs Stunting) e o preditor mais importante e a propria categoria TB/U (Height-for-Age), codificada ;True;False;True;False;True
AA_41;True;True;False;Height (cm) e preditor (Table I e Table II, p.4: atributos Age (months), Gender, Height (cm)) e e exatamente a medida que define o desfecho — o rotulo de estado nutricional e o z-s;False;False;False;False;True
AA_44;False;True;True;Os 74 candidatos sao 70 padroes temporais de diagnosticos codificados em EDC (binarios) + 4 demograficas (sexo ao nascer, raca/etnia, Medicaid/CHIP, faixa etaria na visita indice) ;False;False;True;False;True
AA_45;False;True;True;Nenhum peso, altura ou z-score da propria crianca entra como preditor — os z-scores da crianca sao apenas os desfechos. As unicas variaveis de corpo entre os 34 preditores sao (a) ;True;False;False;False;True
AA_46;True;True;False;Table I, p.3 (impressa 326): entre os 7 preditores estao Birth Height (cm), Weight according to Height (W/H), Weight according to Age (W/A), Upper Arm Circumference (cm) e Birth We;False;False;False;False;False
AA_47;True;True;False;Caso de antropometria DA PROPRIA CRIANCA (nao dos pais). Os 13 preditores da Table I (p.3), confirmados pelos rotulos da Fig. 1 (p.5), sao todos de nivel infantil: Gender, Age, Bir;False;False;False;False;True
AA_50;True;True;False;O kindergarten BMI z-score e medida antropometrica DA PROPRIA CRIANCA (nao dos pais - o artigo nao usa nenhuma medida antropometrica parental) e entra como preditor do desfecho obe;False;False;False;False;True
AA_54;False;True;True;As flags do notebook (antropometria_top3=True, antropometria_preditores=True) so sao verdadeiras se 'antropometria' incluir medidas DOS PAIS. O top-3 do ranking (Table 3, p.8) e al;True;False;False;False;False
AA_55;False;False;False;Nao ha antropometria de nenhum tipo entre os preditores. As onze covariaveis (Section 3.3, p.7) e as 13 variaveis da Table 1, p.2 sao todas de nivel domiciliar: escolaridade, terra;False;True;False;False;True
AA_56;False;False;False;"Nenhuma medida antropometrica entra como preditor, nem da CRIANCA nem dos PAIS. As 12 covariaveis (Methods 2.2.2, p.3; Table 2, pp.6-9) sao: casamento consanguineo, indice de rique";False;False;False;False;True
AA_57;True;True;False;"Child_height e Child_weight estao entre os 18 preditores e ocupam a 2a e a 3a posicao do ranking de importancia (Fig. 4, p.9); child_age e a 1a. O proprio artigo assume a circulari";False;True;False;False;True
AA_58;False;True;True;As flags derivadas antropometria_top3=True e antropometria_preditores=True precisam ser qualificadas: a antropometria presente e a dos PAIS, nao a da crianca. Top-3 da Fig. 4 (p.9);False;False;False;False;True
AA_59;False;True;True;NAO ha antropometria da CRIANCA entre os 28 preditores: nao entram peso, altura, IMC nem z-score da crianca (Table 1, p.5). A unica medida antropometrica no conjunto de preditores ;True;False;False;False;True
AA_60;False;False;False;"CRIANCA: o DHS mediu altura/comprimento, peso e MUAC (Methods §2.1, p.3), mas so a altura-para-idade entra como DESFECHO; peso, MUAC e qualquer z-score antropometrico da crianca NA";True;False;False;False;False
AA_61;False;True;True;Nao ha altura nem HAZ da propria crianca entre os preditores. A antropometria presente e (a) da MAE: Mother_height <160 vs >=160 cm e Mothers_BMI (Table 1, p.3), sendo a altura mat;True;False;False;False;True
AA_62;False;False;False;Confirmado por leitura visual dos 58 rotulos da Fig. 2, p.4: nenhuma medida antropometrica entra como preditor - nao ha peso, altura/comprimento, IMC, perimetro braquial nem escore;True;False;False;False;True
AA_63;True;True;False;Antropometria da PROPRIA CRIANCA esta entre os preditores, nao dos pais. Figura 2, p.4: o fluxo 'Measurements' se divide explicitamente em 'Anthropometric' e 'Others' antes da Quar;False;False;False;False;True
