ID;familia;N Events;prevalencia;Imbalance Handling
AA_07;obesity;2869.0;0.15505593687510133;"None for outcome class imbalance; propensity score matching used only to balance sex between normal-weight and each abnormal-weight group"
AA_24;obesity;;;NR
AA_31;obesity;;;"None reported (NR); classification threshold was scanned to fix sensitivity at 80% for metric reporting, but no resampling/class weighting described."
AA_44;obesity;4777.0;0.5;"None needed; 1:1 matched case-control design with 50:50 class balance, splits stratified to preserve balance"
AA_50;obesity;58640.0;0.2402756778240792;"main analysis: none; sensitivity analysis with down-sampling of the majority class (results in Appendix; similar findings)"
AA_63;obesity;;;undersampling of the normal-weight (majority) population to balance the dataset
AA_07;overweight;3257.0;0.17602550937685782;"None for outcome class imbalance; propensity score matching used only to balance sex between normal-weight and each abnormal-weight group"
AA_24;overweight;;;NR
AA_06;overweight/obesity (combinado);;;none/NR
AA_01;stunting;;;NR (no method reported despite very imbalanced outcomes, e.g., wasting accuracy 0.973 with sensitivity 0.045)
AA_02;stunting;1483.0;0.17316674451191033;"Oversampling of the training set for the wasting outcome only; none reported for stunting and underweight"
AA_03;stunting;64.0;0.009586578789694428;"Random oversampling and random undersampling (each compared against no resampling); label inversion applied during encoding"
AA_04;stunting;;;none/NR
AA_05;stunting;2506.0;0.35400480293826814;none/NR
AA_13;stunting;2000.0;0.5;balanced random subsampling: 500 samples per nutritional-status category per gender drawn to build the 4,000-row training dataset (equal class distribution by design)
AA_16;stunting;;;"Simple up-sampling (random oversampling) of the minority class to even classes, applied to training data only; SMOTE tested and performed worse"
AA_19;stunting;18.0;0.023936170212765957;SMOTE, SMOTE-ENN, and SMOTE-Tomek oversampling, each compared against no resampling
AA_22;stunting;148.0;0.3566265060240964;"None (imbalance acknowledged; handling deferred to future research)"
AA_23;stunting;15870.0;0.5157788683415125;"oversampling by generating synthetic data reflecting the original distribution (using WHO standardized SD), then trimming (undersampling) the normal class; plus AdaBoost boosting to focus on misclassified samples"
AA_26;stunting;;;Random oversampling of the minority (stunting) class: 6,000 synthetic records generated uniformly within Q1-Q3 limits of the stunting-class feature distributions, giving 6,064 stunting vs 6,608 normal records.
AA_28;stunting;165.0;0.07317073170731707;"SMOTE (stated as applied to the training dataset; reported balanced classes of 2,504 instances each, which is inconsistent with the training set size of 1,353)"
AA_35;stunting;64.0;0.009585143028306126;"Random oversampling of minority (stunting) class by generating synthetic records within Q1-Q3 bounds of the stunting-class distribution (6,548 generated), balancing to 6,612 per class; results also reported for the imbalanced data"
AA_36;stunting;;;"NR ('data balancing if necessary' mentioned in research stages, but no method reported; class imbalance acknowledged in confusion matrix discussion)"
AA_37;stunting;155.0;0.04092949564298917;"SMOTE oversampling applied to training set only (after 70/30 split); training set balanced to 2,548 vs 2,548"
AA_39;stunting;60.0;0.006791171477079796;SMOTE applied to the training set only (after 80/20 split), balancing training data to 7,020 instances per class
AA_40;stunting;62.0;0.020666666666666667;"SMOTE applied to the training set for KNN (after 70/30 split); scale_pos_weight tuned via grid search for XGBoost"
AA_41;stunting;4144.0;0.11416292459847378;"None (imbalance acknowledged in discussion; oversampling/undersampling only suggested for future work)"
AA_45;stunting;1472.0;0.18609355246523387;Random over-sampling (up-sampling) of the minority class during model training, via caret 'sampling = up' within cross-validation
AA_46;stunting;;;NR/none reported
AA_47;stunting;52.0;0.45614035087719296;none/NR
AA_54;stunting;1803.0;0.35401531513842527;"None/NR (35% vs 65% class distribution; no resampling or weighting described)"
AA_55;stunting;2947.0;0.49604443696347417;SMOTE oversampling plus cost-sensitive class weighting (weights inversely proportional to class frequency)
AA_56;stunting;1580.0;0.3815503501569669;Resampling methods to balance class distributions (specific technique not named)
AA_57;stunting;;;"SMOTE (dataset expanded from 18,451 to 33,495 instances; ~11,165 per class)"
AA_58;stunting;;;SMOTE
AA_59;stunting;2442.0;0.31323755772190864;NR
AA_60;stunting;1342.0;0.3970414201183432;"None (no resampling or class weights); optimal classification threshold selected with the closest top-left method on the ROC curve to address the unsuitability of the default 0.50 threshold"
AA_61;stunting;1272.0;0.33350812794965917;SMOTE (classes balanced from 1272 stunted vs 2542 non-stunted to 2542 each)
AA_62;stunting;2327.0;0.3422562141491396;None/NR
