ID;outcome_family;final_label;anthropometry_in_top3;anthropometry_among_predictors;top3_terms;AUC;Accuracy
AA_07;obesity;diagnostic classification (nowcasting);False;False;;0.849;
AA_24;obesity;diagnostic classification (nowcasting);False;False;;0.667;0.967
AA_31;obesity;prospective prediction;True;True;weight;0.81;0.661
AA_44;obesity;mixed;False;False;;0.78;
AA_50;obesity;prospective prediction;True;True;bmi;0.785;0.869
AA_63;obesity;prospective prediction;False;False;;;
AA_07;overweight;diagnostic classification (nowcasting);False;False;;0.806;
AA_24;overweight;diagnostic classification (nowcasting);False;False;;0.62;0.887
AA_06;overweight/obesity (combined);diagnostic classification (nowcasting);False;False;;0.62;
AA_01;stunting;diagnostic classification (nowcasting);False;False;;0.65;0.839
AA_02;stunting;diagnostic classification (nowcasting);True;True;height, length;1.0;0.98
AA_03;stunting;diagnostic classification (nowcasting);False;True;;;0.998
AA_04;stunting;diagnostic classification (nowcasting);True;True;height;;0.999
AA_05;stunting;diagnostic classification (nowcasting);False;False;;0.714;0.883
AA_13;stunting;diagnostic classification (nowcasting);True;True;height;0.997;0.949
AA_16;stunting;diagnostic classification (nowcasting);False;False;;0.672;0.674
AA_19;stunting;diagnostic classification (nowcasting);False;True;;;0.99
AA_22;stunting;diagnostic classification (nowcasting);False;True;;;0.87
AA_23;stunting;diagnostic classification (nowcasting);False;True;;;0.986
AA_26;stunting;diagnostic classification (nowcasting);False;True;;;0.979
AA_28;stunting;diagnostic classification (nowcasting);False;True;;;0.991
AA_35;stunting;diagnostic classification (nowcasting);False;True;;;0.981
AA_36;stunting;diagnostic classification (nowcasting);False;False;;;0.79
AA_37;stunting;diagnostic classification (nowcasting);False;True;;;0.992
AA_39;stunting;diagnostic classification (nowcasting);False;True;;;0.992
AA_40;stunting;diagnostic classification (nowcasting);True;True;height, height-for-age, tb/u;;0.999
AA_41;stunting;diagnostic classification (nowcasting);False;True;;;0.833
AA_45;stunting;diagnostic classification (nowcasting);False;False;;;0.642
AA_46;stunting;mixed;False;True;;;0.842
AA_47;stunting;diagnostic classification (nowcasting);False;True;;;0.74
AA_54;stunting;mixed;False;True;;0.914;0.847
AA_55;stunting;diagnostic classification (nowcasting);False;False;;1.0;0.999832
AA_56;stunting;diagnostic classification (nowcasting);False;False;;;0.859
AA_57;stunting;diagnostic classification (nowcasting);True;True;height;0.99995;0.98
AA_58;stunting;diagnostic classification (nowcasting);False;True;;0.84;0.72
AA_59;stunting;diagnostic classification (nowcasting);False;False;;0.802;0.817
AA_60;stunting;diagnostic classification (nowcasting);False;False;;0.767;0.728
AA_61;stunting;diagnostic classification (nowcasting);False;True;;0.89;0.793
AA_62;stunting;diagnostic classification (nowcasting);False;False;;;0.616
