ID;familia;rotulo_final;antropometria_top3;antropometria_preditores;termos_top3;AUC;Accuracy
AA_07;obesity;classificacao diagnostica (nowcasting);False;False;;0.849;
AA_24;obesity;classificacao diagnostica (nowcasting);False;False;;0.667;0.967
AA_31;obesity;predicao prospectiva;True;True;weight;0.81;0.661
AA_44;obesity;misto (conferir);False;False;;0.78;
AA_50;obesity;predicao prospectiva;True;True;bmi;0.785;0.869
AA_63;obesity;predicao prospectiva;False;False;;;
AA_07;overweight;classificacao diagnostica (nowcasting);False;False;;0.806;
AA_24;overweight;classificacao diagnostica (nowcasting);False;False;;0.62;0.887
AA_06;overweight/obesity (combinado);classificacao diagnostica (nowcasting);False;False;;0.62;
AA_01;stunting;classificacao diagnostica (nowcasting);False;False;;0.65;0.839
AA_02;stunting;classificacao diagnostica (nowcasting);True;True;height, length;1.0;0.98
AA_03;stunting;classificacao diagnostica (nowcasting);False;True;;;0.998
AA_04;stunting;classificacao diagnostica (nowcasting);True;True;height;;0.999
AA_05;stunting;classificacao diagnostica (nowcasting);False;False;;0.714;0.883
AA_13;stunting;classificacao diagnostica (nowcasting);True;True;height;0.997;0.949
AA_16;stunting;classificacao diagnostica (nowcasting);False;False;;0.672;0.674
AA_19;stunting;classificacao diagnostica (nowcasting);False;True;;;0.99
AA_22;stunting;classificacao diagnostica (nowcasting);False;True;;;0.87
AA_23;stunting;classificacao diagnostica (nowcasting);False;True;;;0.986
AA_26;stunting;classificacao diagnostica (nowcasting);False;True;;;0.979
AA_28;stunting;classificacao diagnostica (nowcasting);False;True;;;0.991
AA_35;stunting;classificacao diagnostica (nowcasting);False;True;;;0.981
AA_36;stunting;classificacao diagnostica (nowcasting);False;False;;;0.79
AA_37;stunting;classificacao diagnostica (nowcasting);False;True;;;0.992
AA_39;stunting;classificacao diagnostica (nowcasting);False;True;;;0.992
AA_40;stunting;classificacao diagnostica (nowcasting);True;True;height, height-for-age, tb/u;;0.999
AA_41;stunting;classificacao diagnostica (nowcasting);False;True;;;0.833
AA_45;stunting;classificacao diagnostica (nowcasting);False;False;;;0.642
AA_46;stunting;misto (conferir);False;True;;;0.842
AA_47;stunting;classificacao diagnostica (nowcasting);False;True;;;0.74
AA_54;stunting;misto (conferir);False;True;;0.914;0.847
AA_55;stunting;classificacao diagnostica (nowcasting);False;False;;1.0;0.999832
AA_56;stunting;classificacao diagnostica (nowcasting);False;False;;;0.859
AA_57;stunting;classificacao diagnostica (nowcasting);True;True;height;0.99995;0.98
AA_58;stunting;classificacao diagnostica (nowcasting);False;True;;0.84;0.72
AA_59;stunting;classificacao diagnostica (nowcasting);False;False;;0.802;0.817
AA_60;stunting;classificacao diagnostica (nowcasting);False;False;;0.767;0.728
AA_61;stunting;classificacao diagnostica (nowcasting);False;True;;0.89;0.793
AA_62;stunting;classificacao diagnostica (nowcasting);False;False;;;0.616
