parte;dominio;Low;High;Unclear;Na;Low_pct;High_pct;Unclear_pct
desenvolvimento;D1 participantes;14;13;10;0;37;34;26
desenvolvimento;D2 preditores;11;7;19;0;29;18;50
desenvolvimento;D3 desfecho;12;14;11;0;32;37;29
desenvolvimento;D4 analise;0;32;5;0;0;84;13
desenvolvimento;geral;0;36;1;0;0;95;3
desenvolvimento;aplicabilidade;4;22;11;0;11;58;29
avaliacao;D1 participantes;18;10;9;0;47;26;24
avaliacao;D2 preditores;10;6;21;0;26;16;55
avaliacao;D3 desfecho;16;18;3;0;42;47;8
avaliacao;D4 aparente;3;10;3;0;8;26;8
avaliacao;D4 interna;2;33;1;0;5;87;3
avaliacao;D4 externa;0;0;1;0;0;0;3
avaliacao;geral;0;36;1;0;0;95;3
avaliacao;aplicabilidade;5;21;11;0;13;55;29
