Study ID;First author;Year;Outcome extracted;Outcome
AA_01;Berrouyne;2024;underweight;underweight
AA_02;Anku;2024;underweight;underweight
AA_05;Rahman, S. M. Jubaidur;2021;underweight;underweight
AA_07;Chen (Kening Chen);2025;underweight;underweight
AA_45;Tamanna;2025;underweight;underweight
AA_56;Saleem;2025;underweight;underweight
AA_59;Islam, Md. Merajul;2024;underweight;underweight
AA_01;Berrouyne;2024;wasting;wasting
AA_02;Anku;2024;wasting;wasting
AA_05;Rahman, S. M. Jubaidur;2021;wasting;wasting
AA_45;Tamanna;2025;wasting;wasting
AA_55;Mgomezulu;2025;wasting;wasting
AA_56;Saleem;2025;wasting;wasting
AA_59;Islam, Md. Merajul;2024;wasting;wasting
