Study ID;First author;Year;Outcome extracted;Outcome;acao_sugerida
AA_01;Berrouyne;2024;underweight;underweight;"fora do escopo declarado (T1.5): nao entra nos numeros do artigo; citar exclusao em Methods"
AA_02;Anku;2024;underweight;underweight;"fora do escopo declarado (T1.5): nao entra nos numeros do artigo; citar exclusao em Methods"
AA_05;Rahman, S. M. Jubaidur;2021;underweight;underweight;"fora do escopo declarado (T1.5): nao entra nos numeros do artigo; citar exclusao em Methods"
AA_07;Chen (Kening Chen);2025;underweight;underweight;"fora do escopo declarado (T1.5): nao entra nos numeros do artigo; citar exclusao em Methods"
AA_45;Tamanna;2025;underweight;underweight;"fora do escopo declarado (T1.5): nao entra nos numeros do artigo; citar exclusao em Methods"
AA_56;Saleem;2025;underweight;underweight;"fora do escopo declarado (T1.5): nao entra nos numeros do artigo; citar exclusao em Methods"
AA_59;Islam, Md. Merajul;2024;underweight;underweight;"fora do escopo declarado (T1.5): nao entra nos numeros do artigo; citar exclusao em Methods"
AA_01;Berrouyne;2024;wasting;wasting;"fora do escopo declarado (T1.5): nao entra nos numeros do artigo; citar exclusao em Methods"
AA_02;Anku;2024;wasting;wasting;"fora do escopo declarado (T1.5): nao entra nos numeros do artigo; citar exclusao em Methods"
AA_05;Rahman, S. M. Jubaidur;2021;wasting;wasting;"fora do escopo declarado (T1.5): nao entra nos numeros do artigo; citar exclusao em Methods"
AA_45;Tamanna;2025;wasting;wasting;"fora do escopo declarado (T1.5): nao entra nos numeros do artigo; citar exclusao em Methods"
AA_55;Mgomezulu;2025;wasting;wasting;"fora do escopo declarado (T1.5): nao entra nos numeros do artigo; citar exclusao em Methods"
AA_56;Saleem;2025;wasting;wasting;"fora do escopo declarado (T1.5): nao entra nos numeros do artigo; citar exclusao em Methods"
AA_59;Islam, Md. Merajul;2024;wasting;wasting;"fora do escopo declarado (T1.5): nao entra nos numeros do artigo; citar exclusao em Methods"
